"event_id","customer_id","session_id","application_id","event_name","event_timestamp","event_date","source_system","device","url_path"
"EV_000001","CUST_0090","SESS_01202","APP_00253","page_view_application","2024-11-25 00:00:00","2024-11-25","amplitude","mobile","/apply"
"EV_000002","CUST_0035","SESS_01411","APP_00132","application_started","2024-10-05 00:00:00","2024-10-05","web","mobile","/apply/step2"
"EV_000003","CUST_0008","SESS_01793","APP_00448","application_submitted","2024-03-19 00:00:00","2024-03-19","heap","mobile","/apply/step1"
"EV_000004","CUST_0095","SESS_01041","APP_00372","page_view_application","2024-10-05 00:00:00","2024-10-05","web","mobile","/apply"
"EV_000005","CUST_0116","SESS_01735","APP_00375","application_submitted","2024-08-19 00:00:00","2024-08-19","web","mobile","/apply/step2"
"EV_000006","CUST_0019","SESS_00830","APP_00474","page_view_application","2024-04-10 00:00:00","2024-04-10","heap","mobile","/apply"
"EV_000007","CUST_0090","SESS_01072","APP_00144","page_view_application","2024-06-10 00:00:00","2024-06-10","web","mobile","/apply"
"EV_000008","CUST_0129","SESS_01086","APP_00266","page_view_application","2024-05-23 00:00:00","2024-05-23","amplitude","mobile","/apply/step2"
"EV_000009","CUST_0063","SESS_01093","APP_00109","application_started","2024-04-18 00:00:00","2024-04-18","amplitude","mobile","/apply/step2"
"EV_000010","CUST_0051","SESS_01683","APP_00194","application_started","2024-08-20 00:00:00","2024-08-20","heap","desktop","/apply/step2"
"EV_000011","CUST_0188","SESS_01895","APP_00035","application_started","2024-04-20 00:00:00","2024-04-20","heap","desktop","/apply/step2"
"EV_000012","CUST_0124","SESS_00366","APP_00467","application_submitted","2024-08-19 00:00:00","2024-08-19","heap","desktop","/apply/step2"
"EV_000013","CUST_0032","SESS_01186","APP_00390","application_started","2024-08-25 00:00:00","2024-08-25","amplitude","desktop","/apply/step2"
"EV_000014","CUST_0144","SESS_01763","APP_00275","application_started","2024-07-15 00:00:00","2024-07-15","heap","desktop","/apply/step1"
"EV_000015","CUST_0003","SESS_00945","APP_00187","application_submitted","2024-09-29 00:00:00","2024-09-29","web","desktop","/apply/step2"
"EV_000016","CUST_0058","SESS_00976","APP_00437","page_view_application","2024-03-26 00:00:00","2024-03-26","web","desktop","/apply/step1"
"EV_000017","CUST_0191","SESS_01512","APP_00500","page_view_application","2024-10-21 00:00:00","2024-10-21","mobile","mobile","/apply"
"EV_000018","CUST_0097","SESS_00431","APP_00243","application_started","2024-02-10 00:00:00","2024-02-10","mobile","desktop","/apply"
"EV_000019","CUST_0082","SESS_00859","APP_00264","application_started","2024-02-17 00:00:00","2024-02-17","heap","desktop","/apply/step2"
"EV_000020","CUST_0168","SESS_01513","APP_00462","page_view_application","2024-03-17 00:00:00","2024-03-17","mobile","desktop","/apply"
"EV_000021","CUST_0122","SESS_00230","APP_00010","page_view_application","2024-06-26 00:00:00","2024-06-26","amplitude","desktop","/apply/step2"
"EV_000022","CUST_0108","SESS_00370","APP_00451","application_started","2024-09-13 00:00:00","2024-09-13","amplitude","desktop","/apply/step2"
"EV_000023","CUST_0045","SESS_00178","APP_00166","application_started","2024-04-26 00:00:00","2024-04-26","web","mobile","/apply/step1"
"EV_000024","CUST_0058","SESS_01881","APP_00029","page_view_application","2024-01-19 00:00:00","2024-01-19","web","desktop","/apply"
"EV_000025","CUST_0159","SESS_01434","APP_00271","application_submitted","2024-02-28 00:00:00","2024-02-28","mobile","desktop","/apply/step2"
"EV_000026","CUST_0048","SESS_00568","APP_00087","application_submitted","2024-07-14 00:00:00","2024-07-14","mobile","mobile","/apply"
"EV_000027","CUST_0038","SESS_01614","APP_00023","application_started","2024-04-16 00:00:00","2024-04-16","amplitude","desktop","/apply/step1"
"EV_000028","CUST_0113","SESS_01294","APP_00210","application_started","2024-10-10 00:00:00","2024-10-10","web","mobile","/apply"
"EV_000029","CUST_0051","SESS_01230","APP_00046","application_submitted","2024-02-03 00:00:00","2024-02-03","mobile","mobile","/apply/step1"
"EV_000030","CUST_0124","SESS_00793","APP_00467","page_view_application","2024-10-21 00:00:00","2024-10-21","amplitude","mobile","/apply/step1"
"EV_000031","CUST_0161","SESS_01764","APP_00028","page_view_application","2024-09-07 00:00:00","2024-09-07","web","desktop","/apply/step1"
"EV_000032","CUST_0188","SESS_00900","APP_00026","application_started","2024-05-05 00:00:00","2024-05-05","amplitude","desktop","/apply/step2"
"EV_000033","CUST_0129","SESS_01775","APP_00266","application_submitted","2024-12-04 00:00:00","2024-12-04","amplitude","mobile","/apply/step2"
"EV_000034","CUST_0030","SESS_00975","APP_00175","page_view_application","2024-04-15 00:00:00","2024-04-15","web","desktop","/apply"
"EV_000035","CUST_0015","SESS_01824","APP_00004","application_submitted","2024-06-28 00:00:00","2024-06-28","amplitude","desktop","/apply/step2"
"EV_000036","CUST_0110","SESS_00082","APP_00311","application_started","2024-04-19 00:00:00","2024-04-19","mobile","mobile","/apply/step2"
"EV_000037","CUST_0021","SESS_00846","APP_00322","page_view_application","2024-08-15 00:00:00","2024-08-15","amplitude","mobile","/apply"
"EV_000038","CUST_0175","SESS_00762","APP_00067","page_view_application","2024-04-30 00:00:00","2024-04-30","mobile","desktop","/apply/step1"
"EV_000039","CUST_0175","SESS_01217","APP_00135","page_view_application","2024-04-16 00:00:00","2024-04-16","heap","mobile","/apply/step1"
